Name,Template,Reference
1d-interleaved-parityfec,audio/1d-interleaved-parityfec,[RFC6015]
32kadpcm,audio/32kadpcm,[RFC3802][RFC2421]
3gpp,audio/3gpp,[RFC3839][RFC6381]
3gpp2,audio/3gpp2,[RFC4393][RFC6381]
aac,audio/aac,[ISO-IEC_JTC_1][Max_Neuendorf]
ac3,audio/ac3,[RFC4184]
amr,audio/amr,[RFC4867]
amr-wb,audio/amr-wb,[RFC4867]
amr-wb+,audio/amr-wb+,[RFC4352]
aptx,audio/aptx,[RFC7310]
asc,audio/asc,[RFC6295]
atrac-advanced-lossless,audio/atrac-advanced-lossless,[RFC5584]
atrac-x,audio/atrac-x,[RFC5584]
atrac3,audio/atrac3,[RFC5584]
basic,audio/basic,[RFC2045][RFC2046]
bv16,audio/bv16,[RFC4298]
bv32,audio/bv32,[RFC4298]
clearmode,audio/clearmode,[RFC4040]
cn,audio/cn,[RFC3389]
dat12,audio/dat12,[RFC3190]
dls,audio/dls,[RFC4613]
dsr-es201108,audio/dsr-es201108,[RFC3557]
dsr-es202050,audio/dsr-es202050,[RFC4060]
dsr-es202211,audio/dsr-es202211,[RFC4060]
dsr-es202212,audio/dsr-es202212,[RFC4060]
dv,audio/dv,[RFC6469]
dvi4,audio/dvi4,[RFC4856]
eac3,audio/eac3,[RFC4598]
encaprtp,audio/encaprtp,[RFC6849]
evrc,audio/evrc,[RFC4788]
evrc-qcp,audio/evrc-qcp,[RFC3625]
evrc0,audio/evrc0,[RFC4788]
evrc1,audio/evrc1,[RFC4788]
evrcb,audio/evrcb,[RFC5188]
evrcb0,audio/evrcb0,[RFC5188]
evrcb1,audio/evrcb1,[RFC4788]
evrcnw,audio/evrcnw,[RFC6884]
evrcnw0,audio/evrcnw0,[RFC6884]
evrcnw1,audio/evrcnw1,[RFC6884]
evrcwb,audio/evrcwb,[RFC5188]
evrcwb0,audio/evrcwb0,[RFC5188]
evrcwb1,audio/evrcwb1,[RFC5188]
evs,audio/evs,[_3GPP][Kyunghun_Jung]
example,audio/example,[RFC4735]
flac,audio/flac,[RFC-ietf-cellar-flac-14]
flexfec,audio/flexfec,[RFC8627]
fwdred,audio/fwdred,[RFC6354]
g711-0,audio/g711-0,[RFC7655]
g719,audio/g719,[RFC5404][RFC Errata 3245]
g7221,audio/g7221,[RFC5577]
g722,audio/g722,[RFC4856]
g723,audio/g723,[RFC4856]
g726-16,audio/g726-16,[RFC4856]
g726-24,audio/g726-24,[RFC4856]
g726-32,audio/g726-32,[RFC4856]
g726-40,audio/g726-40,[RFC4856]
g728,audio/g728,[RFC4856]
g729,audio/g729,[RFC4856]
g7291,audio/g7291,[RFC4749][RFC5459]
g729d,audio/g729d,[RFC4856]
g729e,audio/g729e,[RFC4856]
gsm,audio/gsm,[RFC4856]
gsm-efr,audio/gsm-efr,[RFC4856]
gsm-hr-08,audio/gsm-hr-08,[RFC5993]
ilbc,audio/ilbc,[RFC3952]
ip-mr_v2.5,audio/ip-mr_v2.5,[RFC6262]
l8,audio/l8,[RFC4856]
l16,audio/l16,[RFC4856]
l20,audio/l20,[RFC3190]
l24,audio/l24,[RFC3190]
lpc,audio/lpc,[RFC4856]
matroska,audio/matroska,[RFC-ietf-cellar-matroska-21]
melp,audio/melp,[RFC8130]
melp600,audio/melp600,[RFC8130]
melp1200,audio/melp1200,[RFC8130]
melp2400,audio/melp2400,[RFC8130]
mhas,audio/mhas,[ISO-IEC_JTC_1][Nils_Peters][Ingo_Hofmann]
mid,audio/midi,[MIDI_Association][Benjamin_Israel]
mobile-xmf,audio/mobile-xmf,[RFC4723]
mpa,audio/mpa,[RFC3555]
mp4,audio/mp4,[RFC4337][RFC6381]
mp4a-latm,audio/mp4a-latm,[RFC6416]
mpa-robust,audio/mpa-robust,[RFC5219]
mp3,audio/mpeg,[RFC3003]
mpeg4-generic,audio/mpeg4-generic,[RFC3640][RFC5691][RFC6295]
ogg,audio/ogg,[RFC5334][RFC7845]
opus,audio/opus,[RFC7587]
parityfec,audio/parityfec,[RFC3009]
pcma,audio/pcma,[RFC4856]
pcma-wb,audio/pcma-wb,[RFC5391]
pcmu,audio/pcmu,[RFC4856]
pcmu-wb,audio/pcmu-wb,[RFC5391]
prs.sid,audio/prs.sid,[Linus_Walleij]
qcelp,audio/qcelp,[RFC3555][RFC3625]
raptorfec,audio/raptorfec,[RFC6682]
red,audio/red,[RFC3555]
rtp-enc-aescm128,audio/rtp-enc-aescm128,[_3GPP]
rtploopback,audio/rtploopback,[RFC6849]
rtp-midi,audio/rtp-midi,[RFC6295]
rtx,audio/rtx,[RFC4588]
scip,audio/scip,[RFC-ietf-avtcore-rtp-scip-09]
smv,audio/smv,[RFC3558]
smv0,audio/smv0,[RFC3558]
smv-qcp,audio/smv-qcp,[RFC3625]
sofa,audio/sofa,[AES][Piotr_Majdak]
sp-midi,audio/sp-midi,[Athan_Billias][MIDI_Association]
speex,audio/speex,[RFC5574]
t140c,audio/t140c,[RFC4351]
t38,audio/t38,[RFC4612]
telephone-event,audio/telephone-event,[RFC4733]
tetra_acelp,audio/tetra_acelp,[ETSI][Miguel_Angel_Reina_Ortega]
tetra_acelp_bb,audio/tetra_acelp_bb,[ETSI][Miguel_Angel_Reina_Ortega]
tone,audio/tone,[RFC4733]
tsvcis,audio/tsvcis,[RFC8817]
uemclip,audio/uemclip,[RFC5686]
ulpfec,audio/ulpfec,[RFC5109]
usac,audio/usac,[ISO-IEC_JTC_1][Max_Neuendorf]
vdvi,audio/vdvi,[RFC4856]
vmr-wb,audio/vmr-wb,[RFC4348][RFC4424]
vnd.3gpp.iufp,audio/vnd.3gpp.iufp,[Thomas_Belling]
vnd.4sb,audio/vnd.4sb,[Serge_De_Jaham]
vnd.audiokoz,audio/vnd.audiokoz,[Vicki_DeBarros]
vnd.celp,audio/vnd.celp,[Serge_De_Jaham]
vnd.cisco.nse,audio/vnd.cisco.nse,[Rajesh_Kumar]
vnd.cmles.radio-events,audio/vnd.cmles.radio-events,[Jean-Philippe_Goulet]
vnd.cns.anp1,audio/vnd.cns.anp1,[Ann_McLaughlin]
vnd.cns.inf1,audio/vnd.cns.inf1,[Ann_McLaughlin]
vnd.dece.audio,audio/vnd.dece.audio,[Michael_A_Dolan]
vnd.digital-winds,audio/vnd.digital-winds,[Armands_Strazds]
vnd.dlna.adts,audio/vnd.dlna.adts,[Edwin_Heredia]
vnd.dolby.heaac.1,audio/vnd.dolby.heaac.1,[Steve_Hattersley]
vnd.dolby.heaac.2,audio/vnd.dolby.heaac.2,[Steve_Hattersley]
vnd.dolby.mlp,audio/vnd.dolby.mlp,[Mike_Ward]
vnd.dolby.mps,audio/vnd.dolby.mps,[Steve_Hattersley]
vnd.dolby.pl2,audio/vnd.dolby.pl2,[Steve_Hattersley]
vnd.dolby.pl2x,audio/vnd.dolby.pl2x,[Steve_Hattersley]
vnd.dolby.pl2z,audio/vnd.dolby.pl2z,[Steve_Hattersley]
vnd.dolby.pulse.1,audio/vnd.dolby.pulse.1,[Steve_Hattersley]
vnd.dra,audio/vnd.dra,[Jiang_Tian]
vnd.dts,audio/vnd.dts,[William_Zou]
vnd.dts.hd,audio/vnd.dts.hd,[William_Zou]
vnd.dts.uhd,audio/vnd.dts.uhd,[Phillip_Maness]
vnd.dvb.file,audio/vnd.dvb.file,[Peter_Siebert]
vnd.everad.plj,audio/vnd.everad.plj,[Shay_Cicelsky]
vnd.hns.audio,audio/vnd.hns.audio,[Swaminathan]
vnd.lucent.voice,audio/vnd.lucent.voice,[Greg_Vaudreuil]
vnd.ms-playready.media.pya,audio/vnd.ms-playready.media.pya,[Steve_DiAcetis]
vnd.nokia.mobile-xmf,audio/vnd.nokia.mobile-xmf,[Nokia]
vnd.nortel.vbk,audio/vnd.nortel.vbk,[Glenn_Parsons]
vnd.nuera.ecelp4800,audio/vnd.nuera.ecelp4800,[Michael_Fox]
vnd.nuera.ecelp7470,audio/vnd.nuera.ecelp7470,[Michael_Fox]
vnd.nuera.ecelp9600,audio/vnd.nuera.ecelp9600,[Michael_Fox]
vnd.octel.sbc,audio/vnd.octel.sbc,[Greg_Vaudreuil]
vnd.presonus.multitrack,audio/vnd.presonus.multitrack,[Matthias_Juwan]
vnd.qcelp - deprecated in favor of audio/qcelp,audio/vnd.qcelp,[RFC3625]
vnd.rhetorex.32kadpcm,audio/vnd.rhetorex.32kadpcm,[Greg_Vaudreuil]
vnd.rip,audio/vnd.rip,[Martin_Dawe]
vnd.sealedmedia.softseal.mpeg,audio/vnd.sealedmedia.softseal.mpeg,[David_Petersen]
vnd.vmx.cvsd,audio/vnd.vmx.cvsd,[Greg_Vaudreuil]
vorbis,audio/vorbis,[RFC5215]
vorbis-config,audio/vorbis-config,[RFC5215]
midi,audio/x-midi,音乐数字接口（MIDI）
wav,audio/wav,波形音频格式
weba,audio/webm,WEBM 音频
