Name,Template,Reference
bhttp,message/bhttp,[RFC9292]
cpim,message/cpim,[RFC3862]
delivery-status,message/delivery-status,[RFC1894]
disposition-notification,message/disposition-notification,[RFC8098]
example,message/example,[RFC4735]
feedback-report,message/feedback-report,[RFC5965]
global,message/global,[RFC6532]
global-delivery-status,message/global-delivery-status,[RFC6533]
global-disposition-notification,message/global-disposition-notification,[RFC6533]
global-headers,message/global-headers,[RFC6533]
http,message/http,[RFC9112]
imdn+xml,message/imdn+xml,[RFC5438]
mls,message/mls,[RFC9420]
news (obsoleted by [rfc5537]),message/news,[RFC5537][Henry_Spencer]
ohttp-req,message/ohttp-req,[RFC9458]
ohttp-res,message/ohttp-res,[RFC9458]
s-http (obsolete),message/s-http,[RFC2660][status-change-http-experiments-to-historic]
sip,message/sip,[RFC3261]
sipfrag,message/sipfrag,[RFC3420]
tracking-status,message/tracking-status,[RFC3886]
vnd.si.simp (obsoleted by request),message/vnd.si.simp,[Nicholas_Parks_Young]
vnd.wfa.wsc,message/vnd.wfa.wsc,[Mick_Conley]
